127.0.0.1, 2016-03-24 20:23:25, GET, /, HTTP/1.1, 303, 0.003728
127.0.0.1, 2016-03-24 20:23:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.154737
127.0.0.1, 2016-03-24 20:23:25, GET, /welcome/static/img/glyphicons-halflings.png, HTTP/1.1, 404, 0.000513
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.017719
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000696
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001657
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002917
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002897
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001515
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002648
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003890
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001007
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001738
127.0.0.1, 2016-03-24 20:23:42, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000844
127.0.0.1, 2016-03-24 20:23:43, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000306
127.0.0.1, 2016-03-24 20:23:43, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000605
127.0.0.1, 2016-03-24 20:23:43, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000846
127.0.0.1, 2016-03-24 20:23:43, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000640
127.0.0.1, 2016-03-24 20:23:43, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001142
127.0.0.1, 2016-03-24 20:23:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000834
127.0.0.1, 2016-03-24 20:24:01, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.019902
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.069158
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/default/index, HTTP/1.1, 200, 0.031063
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 200, 0.002563
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 200, 0.001175
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001753
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 200, 0.002105
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001012
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 200, 0.004162
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000601
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000530
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000442
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000483
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000465
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000494
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2016-03-24 20:24:06, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 200, 0.000459
127.0.0.1, 2016-03-24 20:24:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000174
127.0.0.1, 2016-03-24 20:24:08, POST, /admin/default/index, HTTP/1.1, 303, 0.033160
127.0.0.1, 2016-03-24 20:24:08, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.079466
127.0.0.1, 2016-03-24 20:24:08, GET, /admin/static/_2.13.4/images/search.png, HTTP/1.1, 200, 0.000570
127.0.0.1, 2016-03-24 20:24:08, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 200, 0.000846
127.0.0.1, 2016-03-24 20:24:08, GET, /admin/static/_2.13.4/images/delete_icon.png, HTTP/1.1, 200, 0.001258
127.0.0.1, 2016-03-24 20:24:08, GET, /admin/static/_2.13.4/images/test_icon.png, HTTP/1.1, 200, 0.001824
127.0.0.1, 2016-03-24 20:24:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2016-03-24 20:24:19, GET, /admin/default/site, HTTP/1.1, 200, 0.037045
127.0.0.1, 2016-03-24 20:24:19, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 200, 0.001526
127.0.0.1, 2016-03-24 20:24:19, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 200, 0.001470
